customerId:ID(Customer),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,CustomerID,labels:LABEL
FG235,鸿睿思博网络有限公司科技公司,陆梅,运营总监,青海省兴安盟县西夏佘街D座 903506,长春县,澳门特别行政区,979622,中国,18862846130,,FG235,Customer
FH577,超艺信息有限公司云计算,周淑兰,CTO,河北省成市东丽昆明街K座 960129,婷婷市,浙江省,753169,中国,18900121037,18762150403.0,FH577,Customer
FN751,图龙信息传媒有限公司云计算,寇洋,运营总监,台湾省潜江县朝阳海门街I座 891358,宜都县,澳门特别行政区,139184,中国,14711340731,15926605196.0,FN751,Customer
FO691,良诺传媒有限公司金融科技,王建华,总经理,陕西省潜江县怀柔赵街Z座 367503,巢湖市,黑龙江省,636618,中国,13392989857,18710143713.0,FO691,Customer
FV053,泰麒麟传媒有限公司人工智能,党晶,采购经理,湖北省琴县上街童街r座 617701,兰英县,澳门特别行政区,990446,中国,13041278585,,FV053,Customer
GD537,浦华众城传媒有限公司数字科技,郭建国,技术总监,海南省利县普陀巢湖路o座 999720,荣县,青海省,522458,中国,18644358183,,GD537,Customer
GG174,联通时科科技有限公司移动应用开发,吕燕,采购经理,澳门特别行政区鹏县华龙张街H座 626130,林市,福建省,669231,中国,15936771956,13299280329.0,GG174,Customer
GH966,数字100传媒有限公司物联网,黄婷,采购经理,澳门特别行政区哈尔滨县大兴上海路e座 923516,秀英市,河北省,622442,中国,13614879601,14791687751.0,GH966,Customer
GL585,商软冠联网络有限公司人工智能,韩桂珍,采购总监,新疆维吾尔自治区海口县丰都冯路M座 966391,瑜市,海南省,239768,中国,13767088429,,GL585,Customer
GM998,华成育卓传媒有限公司智能科技,吕婷婷,CEO,山西省波县梁平昆明路j座 498723,丹丹市,江西省,712585,中国,15186664254,18950874101.0,GM998,Customer
GX313,飞海科技科技有限公司电子商务,李艳,技术总监,上海市长春市江北佛山街L座 320483,兰州市,陕西省,185037,中国,18169220333,15841626800.0,GX313,Customer
HB450,和泰信息有限公司人工智能,王雪,总经理,云南省武汉市江北邱路V座 822794,石家庄市,湖北省,428965,中国,13513909624,14517251544.0,HB450,Customer
HC500,和泰科技有限公司区块链技术,张建军,CEO,重庆市重庆市和平北京街u座 140339,成市,安徽省,238244,中国,13259391074,13866818775.0,HC500,Customer
HD935,四通信息有限公司人工智能,谭伟,CEO,云南省璐县花溪卢街V座 184974,巢湖市,西藏自治区,885926,中国,18224122441,,HD935,Customer
HS034,济南亿次元网络有限公司数字科技,袁丽,CEO,天津市太原市双滦梅街L座 337339,婷市,河北省,809552,中国,14561884560,,HS034,Customer
HV669,泰麒麟信息有限公司金融科技,刘洋,技术总监,黑龙江省玉珍市翔安六盘水街l座 604589,沈阳县,辽宁省,490029,中国,13137615448,18826691020.0,HV669,Customer
IZ670,创联世纪网络有限公司数字科技,李涛,CEO,辽宁省亮县锡山澳门路k座 303312,汕尾市,海南省,997340,中国,13112689194,13689021915.0,IZ670,Customer
JE131,昊嘉信息有限公司云计算,刘明,项目经理,上海市汕尾市长寿沈阳街C座 705111,云市,新疆维吾尔自治区,187121,中国,13754100515,18731072773.0,JE131,Customer
JF161,鑫博腾飞网络有限公司科技公司,韦岩,技术总监,上海市马鞍山市高港梧州路P座 473928,福州县,青海省,812546,中国,18506688932,,JF161,Customer
JL382,中建创业网络有限公司信息技术,王淑兰,CTO,江苏省南宁市沈河吴街H座 274714,凤英市,海南省,841697,中国,13433681676,,JL382,Customer
KG442,明腾科技有限公司智能科技,张彬,技术总监,上海市成都市长寿嘉禾路t座 859476,健县,广西壮族自治区,933887,中国,13906630790,15986664254.0,KG442,Customer
KM231,鸿睿思博网络有限公司人工智能,李瑞,运营总监,西藏自治区云市蓟州黄路W座 144791,艳县,山西省,200853,中国,13444986033,,KM231,Customer
KU222,华远软件网络有限公司生物科技,王静,项目经理,河北省福州市浔阳哈尔滨路k座 728110,畅市,山西省,886906,中国,13701582913,15019305127.0,KU222,Customer
LC746,创亿科技有限公司科技公司,陈阳,CEO,青海省南宁市吉区何街g座 592075,秀云县,辽宁省,722867,中国,14509644789,13762991240.0,LC746,Customer
LM896,趋势网络有限公司移动应用开发,贺勇,总经理,北京市大冶县普陀陈路n座 239667,秀珍县,广西壮族自治区,519778,中国,15159466496,14592801304.0,LM896,Customer
ME427,太极传媒有限公司物联网,葛刚,总经理,江苏省明市黄浦武汉街C座 796913,瑞市,江苏省,735321,中国,15887465489,15512658764.0,ME427,Customer
ME937,和泰信息有限公司智能科技,邓宇,运营总监,北京市邯郸县友好陈街y座 426426,太原县,北京市,460560,中国,13609121378,,ME937,Customer
MF124,南康传媒有限公司虚拟现实,张红,项目经理,新疆维吾尔自治区合肥市西夏杨路u座 969840,彬市,湖南省,118593,中国,15112793731,,MF124,Customer
MN973,超艺网络有限公司电子商务,戴瑞,项目经理,台湾省惠州县牧野关岭街Q座 883077,佛山县,四川省,539452,中国,13172471308,,MN973,Customer
MO096,昂歌信息传媒有限公司互联网服务,宋玲,项目经理,贵州省婷县南长银川路R座 666949,通辽市,澳门特别行政区,679826,中国,13583460669,14504863207.0,MO096,Customer
MW869,创联世纪网络有限公司智能科技,陈欣,采购总监,福建省汕尾县和平曲街q座 407084,荆门县,天津市,950509,中国,15042576080,15064670150.0,MW869,Customer
NP027,和泰信息有限公司大数据分析,卢洋,项目经理,山东省鑫县魏都长沙街L座 384089,西安县,北京市,195089,中国,13423450884,18527748007.0,NP027,Customer
NX044,和泰科技有限公司智能科技,张倩,项目经理,湖北省艳县城东武汉路F座 536666,永安市,陕西省,833354,中国,14707746049,15162660294.0,NX044,Customer
NZ037,昂歌信息科技有限公司生物科技,陈超,CEO,内蒙古自治区金凤县城东马鞍山路A座 708516,南昌市,四川省,658489,中国,18156594187,13167818478.0,NZ037,Customer
OD228,华成育卓科技有限公司物联网,余杰,总经理,辽宁省天津市南长兰州街Z座 934701,建市,福建省,354441,中国,18549080910,,OD228,Customer
OP489,迪摩网络有限公司移动应用开发,唐超,采购总监,湖南省宁德县徐汇袁路V座 319614,桂兰县,台湾省,555505,中国,18648336628,,OP489,Customer
PA744,图龙信息科技有限公司金融科技,陆波,项目经理,台湾省南京县蓟州武汉街t座 149909,重庆市,山东省,188461,中国,15859261518,13022736588.0,PA744,Customer
PD136,雨林木风计算机传媒有限公司物联网,赖秀珍,总经理,内蒙古自治区柳市南湖齐齐哈尔路L座 415915,贵阳县,天津市,420544,中国,13586924009,15991698256.0,PD136,Customer
PP445,新宇龙信息科技有限公司科技公司,蒋宇,总经理,浙江省坤县海港淮安路j座 926220,贵阳市,澳门特别行政区,497153,中国,13377367397,14590986238.0,PP445,Customer
PW133,天益传媒有限公司区块链技术,黄峰,项目经理,吉林省莉市涪城哈尔滨街q座 220531,婷婷县,澳门特别行政区,276141,中国,15524218965,13874845223.0,PW133,Customer
QV674,恒聪百汇科技有限公司互联网服务,韩红霞,采购总监,云南省帆市清城曾路O座 622721,淑珍县,湖南省,352095,中国,13283005874,15931537139.0,QV674,Customer
RD903,创亿网络有限公司大数据分析,陈斌,CEO,四川省婷婷市永川长春路O座 583812,红梅市,吉林省,959967,中国,13540713538,15711054341.0,RD903,Customer
RG624,联通时科信息有限公司物联网,石丽娟,项目经理,辽宁省建市六枝特阮路y座 261842,长沙市,天津市,224560,中国,18289705206,,RG624,Customer
RX839,七喜信息有限公司数字科技,刘宇,技术总监,甘肃省辉市秀英天津路I座 383433,凤英市,四川省,911684,中国,15000209656,,RX839,Customer
SF467,时空盒数字网络有限公司互联网服务,洪红霞,运营总监,浙江省宁德县黄浦郭路v座 872242,桂珍县,河北省,491655,中国,15296743330,,SF467,Customer
SG571,凌云信息有限公司区块链技术,马莉,CEO,香港特别行政区鑫县滨城顾街t座 413207,石家庄市,甘肃省,366678,中国,13489093674,,SG571,Customer
SH357,毕博诚信息有限公司生物科技,聂军,采购总监,新疆维吾尔自治区永安市蓟州荆门街q座 646208,佳市,云南省,998503,中国,18681274622,13838738144.0,SH357,Customer
SP499,诺依曼软件传媒有限公司网络安全,蓝峰,采购总监,浙江省秀梅市和平魏路q座 355128,秀兰市,四川省,798734,中国,13320054019,15671567452.0,SP499,Customer
TS482,昂歌信息网络有限公司数字科技,欧杨,CEO,云南省汕尾县牧野东莞路K座 682535,丽丽市,香港特别行政区,262977,中国,15920739953,13951141533.0,TS482,Customer
TS965,迪摩科技有限公司智能科技,康俊,采购总监,新疆维吾尔自治区哈尔滨市清河张路X座 621260,海门市,香港特别行政区,884493,中国,18590229227,,TS965,Customer
UE097,恩悌网络有限公司大数据分析,杨辉,采购总监,海南省宜都市海陵张街e座 169265,北镇县,香港特别行政区,794751,中国,15111610970,,UE097,Customer
UG241,华泰通安科技有限公司金融科技,高桂珍,采购总监,上海市洁县门头沟沈阳街m座 363484,倩市,广东省,587939,中国,13302791395,18288292175.0,UG241,Customer
UG538,方正科技网络有限公司电子商务,刘龙,总经理,青海省婷婷县兴山海口路U座 996871,杭州市,浙江省,921265,中国,15053795796,13826588921.0,UG538,Customer
UH169,富罳网络有限公司互联网服务,孟慧,运营总监,重庆市宁市东城黄街A座 847040,洋县,福建省,901498,中国,18662290683,,UH169,Customer
UJ111,时空盒数字网络有限公司大数据分析,单桂珍,采购经理,甘肃省淮安市房山侯路J座 800401,通辽县,香港特别行政区,104126,中国,18072973848,,UJ111,Customer
UK650,思优传媒有限公司网络安全,包涛,运营总监,江西省台北市城北合山街z座 819116,哈尔滨市,安徽省,375582,中国,15963688921,18572213823.0,UK650,Customer
UX006,通际名联传媒有限公司云计算,牛岩,项目经理,四川省桂芝市吉区长春街y座 651155,南宁市,贵州省,800562,中国,13117350308,,UX006,Customer
VG356,国讯信息有限公司金融科技,陈秀华,项目经理,海南省兵县山亭周街y座 863706,潜江县,四川省,449463,中国,13174897055,,VG356,Customer
VG866,快讯信息有限公司大数据分析,秦华,采购经理,内蒙古自治区通辽县金平兴城路i座 503555,荆门市,云南省,281393,中国,14557373154,15257635975.0,VG866,Customer
WA699,华远软件科技有限公司科技公司,陈鑫,运营总监,河南省大冶市萧山吴街H座 487564,晨县,安徽省,892811,中国,18517839309,15534588149.0,WA699,Customer
WJ836,天开网络有限公司互联网服务,赵勇,CEO,宁夏回族自治区健县清城南昌路Y座 765549,沈阳市,浙江省,746834,中国,15299977894,18050883841.0,WJ836,Customer
WM652,明腾网络有限公司互联网服务,梁斌,采购总监,天津市齐齐哈尔县高明齐齐哈尔街Q座 427497,长沙县,四川省,118752,中国,14776329211,,WM652,Customer
WW907,创亿信息有限公司移动应用开发,王成,采购经理,河南省琳县蓟州施路j座 539361,永安市,天津市,240654,中国,13352732920,13272145515.0,WW907,Customer
WX552,时空盒数字传媒有限公司互联网服务,董玉,技术总监,浙江省沈阳市门头沟银川街c座 919514,张家港县,上海市,720701,中国,18278142861,,WX552,Customer
XC404,维旺明信息有限公司大数据分析,郭丹,运营总监,湖南省台北县西峰黄街e座 976378,北镇市,新疆维吾尔自治区,300772,中国,15722531493,15844233306.0,XC404,Customer
XE484,易动力网络有限公司物联网,魏桂香,运营总监,黑龙江省红梅县长寿郑州街y座 259683,合肥县,吉林省,759443,中国,13276154104,,XE484,Customer
XF063,同兴万点传媒有限公司移动应用开发,李斌,CTO,安徽省雪县城北广州街H座 150246,想市,福建省,341121,中国,13527717744,,XF063,Customer
XF175,新格林耐特网络有限公司科技公司,贾桂英,CTO,陕西省莉市海陵潮州街b座 800220,海门市,广东省,966848,中国,13013583516,15216928287.0,XF175,Customer
XJ301,思优信息有限公司虚拟现实,陈欢,采购总监,河北省澳门市梁平宜都街F座 195288,桂香县,辽宁省,124862,中国,15081814179,18747847982.0,XJ301,Customer
XK740,戴硕电子网络有限公司人工智能,黄艳,总经理,江苏省六安市璧山车路E座 396526,雷县,山东省,385046,中国,15646668760,,XK740,Customer
XS318,通际名联信息有限公司区块链技术,黎霞,采购总监,广东省桂荣县梁平谷街u座 437080,上海市,内蒙古自治区,431703,中国,15793977855,,XS318,Customer
YI042,华远软件网络有限公司生物科技,何华,运营总监,江西省敏县房山合山街j座 691206,兰州县,宁夏回族自治区,696354,中国,18969184441,18083734098.0,YI042,Customer
YK404,数字100科技有限公司人工智能,金秀华,采购经理,安徽省北镇市东丽淮安路q座 582719,慧市,河南省,391859,中国,18886424258,18171065126.0,YK404,Customer
YR668,万迅电脑传媒有限公司大数据分析,胡鹏,技术总监,福建省建军市蓟州淮安街Z座 471477,哈尔滨县,贵州省,302896,中国,18788204375,18569628258.0,YR668,Customer
YU657,九方科技有限公司虚拟现实,向柳,技术总监,广东省莹县滨城徐街w座 535418,慧县,江西省,744631,中国,15745296022,15302795142.0,YU657,Customer
YX585,银嘉科技有限公司金融科技,黄利,项目经理,香港特别行政区北镇市沙市太原街l座 765547,长春县,台湾省,892976,中国,14591031958,18167749902.0,YX585,Customer
ZB457,戴硕电子科技有限公司云计算,喻燕,总经理,辽宁省莹市涪城阎街h座 431413,成都县,天津市,423590,中国,15197697619,,ZB457,Customer
ZG482,东方峻景网络有限公司生物科技,杨军,项目经理,浙江省玉梅市沙湾徐街F座 265108,宁德市,云南省,577015,中国,18609387647,15726922759.0,ZG482,Customer
ZI402,巨奥传媒有限公司科技公司,赵荣,总经理,澳门特别行政区澳门县永川呼和浩特路W座 828636,合肥市,新疆维吾尔自治区,362851,中国,18801159604,13831429550.0,ZI402,Customer
ZS800,华成育卓网络有限公司物联网,罗春梅,技术总监,辽宁省磊县龙潭银川街Z座 122419,刚县,海南省,931051,中国,13715685352,,ZS800,Customer
